logFC,AveExpr,t,P.Value,adj.P.Val,B,uniprot_id,contrast,protein,gene,description,phi,neglog10p,pi_score,Pi_score,sig_pi,sig_fdr,direction,shape_class
-0.329257611364314,16.221142019902725,-2.109516058583375,0.038932811711071345,0.15341983687257058,-4.130873740997865,A0A0U1RRL7,Training_Young,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,0.329257611364314,1.4096842305867987,0.4641492625409501,0.343439890859889,FALSE,FALSE,NS,FDR >= 0.05
0.2161148865394189,17.109586463337408,2.498666555244077,0.015122599203211887,0.08236000181441551,-3.3265427726255585,A0FGR8,Training_Young,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,0.2161148865394189,1.8203735578693008,0.39340982491828225,0.40419429100568793,FALSE,FALSE,NS,FDR >= 0.05
0.1939405541237882,16.883663553871582,1.543667804431731,0.1277436566751979,0.3173421365825969,-5.08647877216392,A1L0T0,Training_Young,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,0.1939405541237882,0.8936606562762728,0.17331704287684854,0.6709388765095319,FALSE,FALSE,NS,FDR >= 0.05
0.007975550331710934,18.038428105855818,0.07227765295733736,0.9426129524656659,0.9700376170335188,-6.2257790506453246,A1L4K1,Training_Young,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,0.007975550331710934,0.025666596885190938,2.047052353015754e-4,0.9995287598452731,FALSE,FALSE,NS,FDR >= 0.05
0.0017634650194580104,15.42987906904483,0.016087043982136843,0.9872164603628759,0.9943001004265919,-6.228205284729227,A2RTX5,Training_Young,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",0.0017634650194580104,0.005587612037362806,9.853558370191814e-6,0.9999773116007695,FALSE,FALSE,NS,FDR >= 0.05
-0.046389240978037094,21.158384475198748,-0.403742090516909,0.687787649404535,0.8235901941849777,-6.148784030140578,A3KMH1,Training_Young,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,0.046389240978037094,0.16254562706535342,0.007540368263860828,0.9827875173154035,FALSE,FALSE,NS,FDR >= 0.05
0.7934163002117138,20.121445573172686,4.385559447793989,4.551344031792787e-5,0.002834103850971017,1.9146960642956437,A5YM72,Training_Young,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,0.7934163002117138,4.341860335343499,3.4449027633042304,3.590023047434848e-4,TRUE,TRUE,Up,FDR < 0.05
-0.19029984151953983,20.90173564956159,-2.08267419733425,0.041400896362290045,0.15959256601361899,-4.182093825323016,A6NCE7,Training_Young,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,0.19029984151953983,1.3829902559568268,0.263182826531652,0.545528159766938,FALSE,FALSE,NS,FDR >= 0.05
0.07069119564268789,23.020117452198345,0.982464252607206,0.32967883304890655,0.5563185091530195,-5.760417899925135,A6NDG6,Training_Young,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,0.07069119564268789,0.48190893573570515,0.034066718858052236,0.9245561273084288,FALSE,FALSE,NS,FDR >= 0.05
-0.17469405414279038,21.641342562227027,-1.4277177269804862,0.1583767185977614,0.3617119895716615,-5.248838977814225,A6NNS2,Training_Young,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,0.17469405414279038,0.8003086594109504,0.13980916427808054,0.724754358405731,FALSE,FALSE,NS,FDR >= 0.05
