contrast,logFC,AveExpr,t,P.Value,adj.P.Val,B,count,sca.t,sca.P.Value,sca.adj.pval,uniprot_id,gene,protein,description
Training_Young,0.44492402306027756,21.353978593683202,6.0431936342514625,9.326931020053467e-8,1.9810401486593563e-4,7.667886389030668,112,5.941222890307203,1.3669562112446437e-7,1.5926427686636002e-4,Q14204,DYNC1H1,DYHC1_HUMAN,Cytoplasmic dynein 1 heavy chain 1
Training_Young,0.49489887823030543,24.14097291286292,5.857762797123716,1.9187361455815942e-7,2.037697786607653e-4,6.995430560502122,30,5.917431364227135,1.4996636239770248e-7,1.5926427686636002e-4,P26038,MSN,MOES_HUMAN,Moesin
Training_Young,0.6823911191440217,16.839368509588507,5.649785704288619,4.281132019674669e-7,2.440020382817051e-4,6.247500600032518,8,5.668192998704783,3.9368449378643797e-7,2.627858249851955e-4,Q9Y6G9,DYNC1LI1,DC1L1_HUMAN,Cytoplasmic dynein 1 light intermediate chain 1
Training_Young,-0.5461182641020574,14.683211734774973,-5.6313482720200145,4.595141963873919e-7,2.440020382817051e-4,6.181552839549189,2,-5.5669348659773545,5.808714657393035e-7,2.627858249851955e-4,Q9NP77,SSU72,SSU72_HUMAN,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
Training_Young,0.516446085754211,21.90491334544869,5.498245509318625,7.645209603103598e-7,3.247685039398409e-4,5.707350056383836,18,5.550500714563921,6.186106991176919e-7,2.627858249851955e-4,P26640,VARS1,SYVC_HUMAN,Valine--tRNA ligase
Training_Young,0.557352485492185,18.917943866032836,5.367261164205535,1.257339201408237e-6,3.774427110546818e-4,5.244147350893492,8,5.385991733869235,1.1581400543374734e-6,3.473237217675244e-4,O76003,GLRX3,GLRX3_HUMAN,Glutaredoxin-3
Training_Young,1.2397964438862985,22.29679393411318,5.355232992098851,1.315873043098503e-6,3.774427110546818e-4,5.201794505774055,21,5.375253658564638,1.206290444685728e-6,3.473237217675244e-4,P30837,ALDH1B1,AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial"
Training_Young,0.7405391580113729,17.49132516684488,5.334779276871375,1.4216297968161272e-6,3.774427110546818e-4,5.129847248708289,9,5.353856966693887,1.308187275960544e-6,3.473237217675244e-4,Q16658,FSCN1,FSCN1_HUMAN,Fascin
Training_Young,0.682116256153126,20.040321759633112,5.292778322392351,1.6657111625242308e-6,3.931078343557185e-4,4.982399376919847,7,5.305940689021217,1.5681144538330648e-6,3.700750111046033e-4,Q9UL46,PSME2,PSME2_HUMAN,Proteasome activator complex subunit 2
Training_Young,0.4038375104035197,24.85171782162576,5.195530135084287,2.400233596466731e-6,4.6346328717230336e-4,4.642566790988846,18,5.261665544306617,1.8531188709005158e-6,3.936024481792696e-4,P40227,CCT6A,TCPZ_HUMAN,T-complex protein 1 subunit zeta
Training_Young,0.46063951158248884,21.610874982225067,5.196318059810417,2.3931611970416033e-6,4.6346328717230336e-4,4.6453111443222195,3,5.149646134757998,2.8216337740748736e-6,5.297207004356215e-4,P63172,DYNLT1,DYLT1_HUMAN,Dynein light chain Tctex-type 1
Training_Young,1.2092042607531894,22.843784214116045,5.129072609374674,3.076882320670921e-6,5.446081707587531e-4,4.411643691123015,3,5.133892299573494,2.992772318845319e-6,5.297207004356215e-4,Q99584,S100A13,S10AD_HUMAN,Protein S100-A13
Training_Young,1.08168039991493,23.6338634349084,5.076142274290289,3.746913723419058e-6,6.1218805758016e-4,4.228519871408816,5,5.085027732742234,3.5910586296322516e-6,5.867237330260695e-4,P26447,S100A4,S10A4_HUMAN,Protein S100-A4
Training_Young,0.6285372821384954,23.215475227987717,4.9947791471493925,5.065101502905266e-6,7.351209605485854e-4,3.9484574827934082,20,5.0270880219094725,4.453744625464336e-6,6.756966846061607e-4,Q9NSD9,FARSB,SYFB_HUMAN,Phenylalanine--tRNA ligase beta subunit
Training_Young,-0.7194981183673903,22.63287152469481,-4.988103598129385,5.191532207264021e-6,7.351209605485854e-4,3.925558434221463,4,-4.985763175946368,5.190151859101197e-6,7.349255032487296e-4,P07305,H1-0,H10_HUMAN,Histone H1.0
Training_Young,0.3948178288382742,21.599951295308166,4.895286031594624,7.305111045913676e-6,9.697534913450405e-4,3.6084525072463602,14,4.947642503693844,5.974539781999451e-6,7.931201560604271e-4,Q06323,PSME1,PSME1_HUMAN,Proteasome activator complex subunit 1
Training_Young,0.37919918555126486,20.043801565199043,4.846769383297815,8.724601937118881e-6,0.0010097938953454052,3.4436785726500005,12,4.892582268550574,7.316148216960542e-6,8.738583021870981e-4,Q13409,DYNC1I2,DC1I2_HUMAN,Cytoplasmic dynein 1 intermediate chain 2
