Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
A2M	"CPAMD5, FWP007, S863-7"	ENSG00000175899	Alpha-2-macroglobulin	P01023	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"	"Tissue enhanced"	71	
A4GALT	"A14GALT, Gb3S, P(k), P1"	ENSG00000128274	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism"	"Glycosyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	2	Mitochondria
AAAS		ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Evidence at protein level"	"Low tissue specificity"	16	"Nuclear membrane"
AACS	"ACSF1, FLJ12389, SUR-5"	ENSG00000081760	"Acetoacetyl-CoA synthetase"	Q86V21	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Low tissue specificity"	3	Vesicles
AADAT	"KAT2, KATII, KYAT2"	ENSG00000109576	"Aminoadipate aminotransferase"	Q8N5Z0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Aminotransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"		"Plasma membrane"
AAGAB	"FLJ11506, p34"	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	15	"Nuclear speckles, Cytosol"
AAK1	"DKFZp686K16132, KIAA1048"	ENSG00000115977	"AP2 associated kinase 1"	Q2M2I8	"Enzymes, Predicted intracellular proteins"	Endocytosis	"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	28	"Plasma membrane"
AAMDC	"C11orf67, CK067, FLJ21035, PTD015"	ENSG00000087884	"Adipogenesis associated Mth938 domain containing"	Q9H7C9	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	7	Nucleoplasm
AAMP		ENSG00000127837	"Angio associated migratory cell protein"	Q13685	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Angiogenesis, Differentiation"	"Developmental protein"	"Evidence at protein level"	"Low tissue specificity"	23	Microtubules
AAR2	"bA234K24.2, C20orf4"	ENSG00000131043	"AAR2 splicing factor"	Q9Y312	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"		"Evidence at protein level"	"Low tissue specificity"	86	Cytosol
AARS1	"AARS, AlaRS, CMT2N"	ENSG00000090861	"Alanyl-tRNA synthetase 1"	P49588	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Evidence at protein level"	"Low tissue specificity"	5	Cytosol
AARS2	"AARSL, bA444E17.1, KIAA1270"	ENSG00000124608	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Evidence at protein level"	"Low tissue specificity"	35	Mitochondria
AARSD1	"AlaXp, MGC2744"	ENSG00000266967	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	"Predicted intracellular proteins"	"Protein biosynthesis"		"Evidence at protein level"	"Low tissue specificity"	7	"Nuclear membrane, Cytosol"
AASDH	"ACSF4, LYS2, NRPS998"	ENSG00000157426	"Aminoadipate-semialdehyde dehydrogenase"	Q4L235	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"	"Low tissue specificity"		
AASDHPPT	"AASD-PPT, ACPS, CGI-80, LYS5"	ENSG00000149313	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	Q9NRN7	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase	"Evidence at protein level"	"Low tissue specificity"	13	
AASS	"LKRSDH, LORSDH"	ENSG00000008311	"Aminoadipate-semialdehyde synthase"	Q9UDR5	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Multifunctional enzyme, Oxidoreductase"	"Evidence at protein level"	"Low tissue specificity"	1	Mitochondria
AATF	"BFR2, CHE-1, CHE1, DED"	ENSG00000275700	"Apoptosis antagonizing transcription factor"	Q9NY61	"Essential proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	106	Nucleoli
ABAT	"GABA-T, GABAT"	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	6	Mitochondria
ABCA1	"ABC1, HDLDT1, TGD"	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport"	Translocase	"Evidence at protein level"	"Low tissue specificity"	16	"Plasma membrane"
ABCA10	EST698739	ENSG00000154263	"ATP binding cassette subfamily A member 10"	Q8WWZ4	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Low tissue specificity"		
ABCA2	ABC2	ENSG00000107331	"ATP binding cassette subfamily A member 2"	Q9BZC7	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Tissue enriched"	1	Vesicles
ABCA3	"ABC-C, ABC3, EST111653, LBM180"	ENSG00000167972	"ATP binding cassette subfamily A member 3"	Q99758	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Tissue enhanced"	2	"Nucleoplasm, Vesicles"
ABCA5	EST90625	ENSG00000154265	"ATP binding cassette subfamily A member 5"	Q8WWZ7	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Low tissue specificity"		Nucleoplasm
ABCA6	EST155051	ENSG00000154262	"ATP binding cassette subfamily A member 6"	Q8N139	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Tissue enhanced"		Nucleoplasm
