uniprot_id,gene,description
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2
A5D8V6,VPS37C,Vacuolar protein sorting-associated protein 37C
A7E2Y1,MYH7B,Myosin-7B
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal"
O00507,USP9Y,Probable ubiquitin carboxyl-terminal hydrolase FAF-Y
O00763,ACACB,Acetyl-CoA carboxylase 2
O14531,DPYSL4,Dihydropyrimidinase-related protein 4
O14579,COPE,Coatomer subunit epsilon
O14618,CCS,Copper chaperone for superoxide dismutase
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
O14773,TPP1,Tripeptidyl-peptidase 1
O14791,APOL1,Apolipoprotein L1
O14828,SCAMP3,Secretory carrier-associated membrane protein 3
O14832,PHYH,"Phytanoyl-CoA dioxygenase, peroxisomal"
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3
O14908,GIPC1,PDZ domain-containing protein GIPC1
O15075,DCLK1,Serine/threonine-protein kinase DCLK1
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3
O15195,VILL,Villin-like protein
O15230,LAMA5,Laminin subunit alpha-5
O15297,PPM1D,Protein phosphatase 1D
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase
O43301,HSPA12A,Heat shock 70 kDa protein 12A
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H
O43464,HTRA2,"Serine protease HTRA2, mitochondrial"
O43491,EPB41L2,Band 4.1-like protein 2
O43665,RGS10,Regulator of G-protein signaling 10
O43719,HTATSF1,HIV Tat-specific factor 1
O43815,STRN,Striatin
O60240,PLIN1,Perilipin-1
O60260,PRKN,E3 ubiquitin-protein ligase parkin
O60437,PPL,Periplakin
O60610,DIAPH1,Protein diaphanous homolog 1
O60701,UGDH,UDP-glucose 6-dehydrogenase
O60841,EIF5B,Eukaryotic translation initiation factor 5B
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial"
O75170,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2
O75190,DNAJB6,DnaJ homolog subfamily B member 6
O75340,PDCD6,Programmed cell death protein 6
O75367,MACROH2A1,Core histone macro-H2A.1
O75391,SPAG7,Sperm-associated antigen 7
O75394,MRPL33,"39S ribosomal protein L33, mitochondrial"
O75410,TACC1,Transforming acidic coiled-coil-containing protein 1
O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase
O75828,CBR3,Carbonyl reductase [NADPH] 3
O75844,ZMPSTE24,CAAX prenyl protease 1 homolog
O75884,RBBP9,Serine hydrolase RBBP9
O75970,MPDZ,Multiple PDZ domain protein
O76071,CIAO1,Probable cytosolic iron-sulfur protein assembly protein CIAO1
O94875,SORBS2,Sorbin and SH3 domain-containing protein 2
O94901,SUN1,SUN domain-containing protein 1
O94966,USP19,Ubiquitin carboxyl-terminal hydrolase 19
O95171,SCEL,Sciellin
O95274,LYPD3,Ly6/PLAUR domain-containing protein 3
O95396,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3
O95749,GGPS1,Geranylgeranyl pyrophosphate synthase
